class,count,mean_image_mean,std_image_mean,mean_contrast
Class_0,50,0.5913808345794678,0.1437406688928604,0.15853284299373627
Class_1,50,0.6126994490623474,0.15337447822093964,0.1698777824640274
Class_2,50,0.6079797148704529,0.11988403648138046,0.18347370624542236
Class_3,50,0.6745169162750244,0.1422286331653595,0.15744228661060333
Class_4,50,0.6187998056411743,0.12686796486377716,0.19217054545879364
