split,count,mean_image_mean,p10_image_mean,p90_image_mean,mean_contrast,p10_contrast,p90_contrast,channel_mean_r,channel_mean_g,channel_mean_b
train,250,0.6180752515792847,0.43598052859306335,0.8184295892715454,0.12529577314853668,0.0849732980132103,0.1766466647386551,0.669111967086792,0.4792529344558716,0.7148571014404297
test,61881,0.6309247016906738,0.4328029155731201,0.8003835678100586,0.1124817505478859,0.07213500887155533,0.16562433540821075,0.669535756111145,0.4765711724758148,0.7212437987327576
